date,open,close,high,low,volume,amount
2024-03-15,8.987,9.037,9.187,8.937,3750208.0,0
2024-03-18,8.997,8.977,9.047,8.927,1671397.0,0
2024-03-19,8.967,8.837,8.977,8.827,1293216.0,0
2024-03-20,8.817,8.887,8.907,8.807,872663.0,0
2024-03-21,8.887,8.907,8.957,8.857,864466.0,0
2024-03-22,8.887,8.797,8.887,8.747,1028142.0,0
2024-03-25,8.787,8.837,8.927,8.757,953202.0,0
2024-03-26,8.887,9.037,9.097,8.857,1740021.0,0
2024-03-27,8.997,8.967,9.067,8.947,1274136.0,0
2024-03-28,8.947,8.927,9.007,8.817,1302189.0,0
2024-03-29,8.887,8.957,9.007,8.867,872759.0,0
2024-04-01,8.957,9.077,9.087,8.947,1191088.0,0
2024-04-02,9.067,8.987,9.117,8.967,1085458.0,0
2024-04-03,8.967,8.897,8.987,8.857,981846.0,0
2024-04-08,8.857,8.867,8.927,8.807,906361.0,0
2024-04-09,8.867,8.837,8.907,8.797,857157.0,0
2024-04-10,8.817,8.717,8.847,8.707,1246391.0,0
2024-04-11,8.677,8.687,8.727,8.557,1010213.0,0
2024-04-12,8.657,8.497,8.707,8.477,1305454.0,0
2024-04-15,8.507,8.727,8.757,8.497,1453203.0,0
2024-04-16,8.717,8.717,8.827,8.657,1478036.0,0
2024-04-17,8.697,9.057,9.067,8.647,2232641.0,0
2024-04-18,9.017,9.237,9.467,8.997,3165914.0,0
2024-04-19,9.147,9.127,9.257,9.097,1457675.0,0
2024-04-22,9.077,8.937,9.247,8.887,2009818.0,0
2024-04-23,8.947,8.977,9.087,8.897,1240027.0,0
2024-04-24,8.957,8.967,9.007,8.897,941568.0,0
2024-04-25,8.937,9.047,9.057,8.917,1113812.0,0
2024-04-26,9.027,9.037,9.107,8.917,1607628.0,0
2024-04-29,8.997,9.247,9.337,8.957,2169177.0,0
2024-04-30,9.237,9.227,9.317,9.167,1324557.0,0
2024-05-06,9.397,9.327,9.547,9.277,1784101.0,0
2024-05-07,9.307,9.317,9.327,9.197,1087057.0,0
2024-05-08,9.277,9.167,9.317,9.147,1221791.0,0
2024-05-09,9.147,9.197,9.257,9.147,1069461.0,0
2024-05-10,9.207,9.377,9.397,9.197,1767836.0,0
2024-05-13,9.337,9.407,9.447,9.247,1402499.0,0
2024-05-14,9.437,9.347,9.497,9.317,1075784.0,0
2024-05-15,9.337,9.267,9.357,9.247,868297.0,0
2024-05-16,9.287,9.607,9.647,9.267,3076292.0,0
2024-05-17,9.617,9.857,9.857,9.567,2841749.0,0
2024-05-20,9.867,9.817,9.967,9.747,2170210.0,0
2024-05-21,9.757,9.987,10.057,9.747,2030049.0,0
2024-05-22,9.997,9.997,10.177,9.897,2115531.0,0
2024-05-23,9.967,9.837,10.027,9.807,1841623.0,0
2024-05-24,9.807,9.747,9.927,9.737,1398276.0,0
2024-05-27,9.747,9.947,9.967,9.747,1454361.0,0
2024-05-28,9.937,9.837,10.017,9.797,1204323.0,0
2024-05-29,9.817,9.697,9.887,9.667,1444811.0,0
2024-05-30,9.677,9.557,9.777,9.497,1325496.0,0
2024-05-31,9.577,9.547,9.627,9.547,826707.0,0
2024-06-03,9.557,9.417,9.567,9.347,1326697.0,0
2024-06-04,9.387,9.457,9.487,9.347,981005.0,0
2024-06-05,9.477,9.307,9.507,9.307,1018968.0,0
2024-06-06,9.337,9.337,9.417,9.317,1049332.0,0
2024-06-07,9.357,9.427,9.447,9.327,1170126.0,0
2024-06-11,9.417,9.307,9.457,9.227,1337629.0,0
2024-06-12,9.287,9.317,9.347,9.217,957426.0,0
2024-06-13,9.327,9.237,9.367,9.237,1203508.0,0
2024-06-14,9.306,9.336,9.386,9.146,1637990.0,0
2024-06-17,9.286,9.256,9.316,9.236,681217.0,0
2024-06-18,9.266,9.236,9.316,9.196,700653.0,0
