date,open,close,high,low,volume,amount
2026-02-24,4.94,4.92,4.96,4.9,1557019.0,0
2026-02-25,4.92,5.0,5.07,4.91,2467309.0,0
2026-02-26,4.99,4.82,5.0,4.81,2787387.0,0
2026-02-27,4.83,4.84,4.84,4.79,1132768.0,0
2026-03-02,4.76,4.75,4.82,4.73,1491507.0,0
2026-03-03,4.75,4.67,4.78,4.66,1596817.0,0
2026-03-04,4.64,4.62,4.68,4.59,1176896.0,0
2026-03-05,4.65,4.69,4.73,4.65,960743.0,0
2026-03-06,4.67,4.72,4.72,4.65,937905.0,0
2026-03-09,4.65,4.65,4.67,4.62,920223.0,0
2026-03-10,4.66,4.67,4.69,4.65,639556.0,0
2026-03-11,4.66,4.67,4.69,4.64,770623.0,0
2026-03-12,4.66,4.65,4.68,4.63,758631.0,0
2026-03-13,4.65,4.66,4.73,4.64,1161301.0,0
2026-03-16,4.66,4.66,4.72,4.64,900040.0,0
2026-03-17,4.68,4.7,4.76,4.66,1558016.0,0
2026-03-18,4.68,4.63,4.69,4.61,1087653.0,0
2026-03-19,4.61,4.5,4.63,4.5,1406717.0,0
2026-03-20,4.51,4.34,4.53,4.33,1824087.0,0
2026-03-23,4.25,4.02,4.26,4.01,2120648.0,0
2026-03-24,4.09,4.09,4.11,4.02,915313.0,0
2026-03-25,4.08,4.12,4.14,4.07,865156.0,0
2026-03-26,4.1,4.04,4.14,4.03,848259.0,0
2026-03-27,4.01,4.06,4.07,3.98,657231.0,0
2026-03-30,4.0,4.01,4.03,3.96,948481.0,0
2026-03-31,4.02,3.99,4.08,3.98,989657.0,0
2026-04-01,4.04,4.04,4.07,3.99,1068470.0,0
2026-04-02,4.01,3.92,4.02,3.91,1231611.0,0
2026-04-03,3.92,3.82,3.93,3.8,1035421.0,0
2026-04-07,3.8,3.81,3.82,3.76,732911.0,0
2026-04-08,3.85,3.95,3.98,3.84,1220209.0,0
2026-04-09,3.9,3.87,3.91,3.85,857803.0,0
2026-04-10,3.87,3.89,3.94,3.87,762622.0,0
2026-04-13,3.85,3.91,3.92,3.84,811014.0,0
2026-04-14,3.93,4.02,4.04,3.91,1822756.0,0
2026-04-15,4.01,3.97,4.05,3.95,1171299.0,0
2026-04-16,3.97,3.96,4.0,3.94,689006.0,0
2026-04-17,3.96,3.96,4.02,3.94,984424.0,0
